1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-0.001355	60.130516	0.003631	1.5
144	-0.171414	60.025880	0.006320	1.5
145	-0.230216	59.921729	0.012302	1.6
146	-0.455500	59.818058	0.025073	1.7
147	-0.512471	59.714864	0.048632	1.5
148	-0.465234	59.612144	0.116163	1.6
149	-0.279849	59.509893	0.063275	2.8
150	-0.289552	59.408109	0.021849	1.4
151	-0.119117	59.306787	0.028464	1.5
152	-0.648420	59.205925	0.120939	1.4
153	-0.175651	59.105519	0.030578	1.5
154	-0.488734	59.005566	0.084253	2.2
155	-0.288287	58.906063	0.027667	1.7
156	-0.202102	58.807006	0.025613	1.5
157	-0.255861	58.708391	0.041448	1.7
158	-0.000000	58.610217	0.000000	1.3
159	-0.289445	58.512479	0.096998	1.5
160	-0.580381	58.415174	0.078685	2.1
161	-0.354951	58.318300	0.103875	2.0
162	-0.384379	58.221853	0.119945	1.9
163	-0.350820	58.125830	0.091548	1.7
164	-0.718559	58.030228	0.124534	2.3
165	-0.432884	57.935044	0.143422	1.9
166	-0.352497	57.840276	0.010947	2.0
167	-0.316046	57.745920	0.061999	2.1
168	-0.112877	57.651973	0.026010	1.8
169	-0.686983	57.558433	0.088513	1.5
170	-0.125267	57.465296	0.077748	2.8
171	-0.217136	57.372560	0.050340	3.0
172	-0.433948	57.280223	0.115631	2.5
173	-0.545928	57.188280	0.064955	1.8
174	-0.430288	57.096730	0.130235	3.6
175	-0.736965	57.005569	0.137549	1.4
176	-0.364283	56.914796	0.033401	1.4
177	-0.382099	56.824407	0.077053	1.4
178	-0.096942	56.734400	0.012676	1.4
179	-0.368839	56.644773	0.074216	1.4
180	-0.450130	56.555521	0.037196	1.6
181	-0.290763	56.466644	0.015344	1.8
182	-0.247432	56.378138	0.053246	1.5
183	-0.596140	56.290002	0.264047	1.6
184	-0.246251	56.202231	0.059247	1.4
185	-0.264334	56.114825	0.044026	1.4
186	-0.206213	56.027780	0.029444	2.6
187	-0.031382	55.941095	0.008441	1.5
188	-0.035246	55.854766	0.006015	1.4
189	-0.226785	55.768791	0.053780	6.1
190	-0.166111	55.683169	0.005296	4.2
191	-0.229724	55.597896	0.016091	3.0
192	-0.337357	55.512970	0.143578	2.2
193	-0.410175	55.428390	0.019761	2.5
194	-0.333359	55.344152	0.047417	3.4
195	-0.281162	55.260255	0.008851	3.0
196	-0.011860	55.176696	0.001010	2.6
197	-0.187503	55.093473	0.029596	2.1
198	-0.003572	55.010584	0.000673	2.2
199	-0.281922	54.928027	0.093389	3.4
200	-0.198011	54.845800	0.031742	3.3
201	-0.378192	54.763899	0.098093	2.1
202	-0.195564	54.682325	0.081552	2.0
203	-0.241414	54.601073	0.060423	2.0
204	-0.274026	54.520142	0.029381	1.9
205	-0.306864	54.439531	0.116451	1.4
206	-0.077788	54.359237	0.012243	3.5
207	-0.198887	54.279257	0.045308	1.7
208	-0.130817	54.199591	0.039498	2.2
209	-0.066902	54.120236	0.014386	2.0
210	-0.136798	54.041190	0.026271	1.8
211	-0.401189	53.962451	0.034649	1.5
212	-0.542869	53.884017	0.031051	2.2
213	-0.268502	53.805886	0.084083	1.9
214	-0.245366	53.728057	0.070232	1.6
215	-0.430357	53.650528	0.017335	1.4
216	-0.194546	53.573296	0.011026	1.4
217	-0.266711	53.496359	0.074531	1.4
218	-0.307874	53.419717	0.070150	1.6
